,date,open,high,low,close,volume
0,2021-02-09 14:45:00+00:00,243.27,244.17,243.19,243.76,37373.0
1,2021-02-09 15:00:00+00:00,243.78,244.76,243.69,244.675,41175.0
2,2021-02-09 15:15:00+00:00,244.67,244.67,243.875,243.99,28850.0
3,2021-02-09 15:30:00+00:00,243.99,244.51,243.99,244.055,14971.0
4,2021-02-09 15:45:00+00:00,244.04,244.47,243.82,244.345,36291.0
5,2021-02-09 16:00:00+00:00,244.32,244.37,243.69,244.215,24855.0
6,2021-02-09 16:15:00+00:00,244.215,244.215,243.275,243.295,17766.0
7,2021-02-09 16:30:00+00:00,243.285,243.59,243.03,243.475,6983.0
8,2021-02-09 16:45:00+00:00,243.49,243.59,243.105,243.265,19200.0
9,2021-02-09 17:00:00+00:00,243.195,243.265,242.935,243.23,14807.0
10,2021-02-09 17:15:00+00:00,243.26,243.325,242.835,242.935,8697.0
11,2021-02-09 17:30:00+00:00,242.94,242.94,242.635,242.73,12763.0
12,2021-02-09 17:45:00+00:00,242.755,243.14,242.57,242.99,25317.0
13,2021-02-09 18:00:00+00:00,242.975,243.17,242.87,243.08,14451.0
14,2021-02-09 18:15:00+00:00,243.08,243.27,242.91,243.2,7629.0
15,2021-02-09 18:30:00+00:00,243.22,243.39,243.13,243.23,6353.0
16,2021-02-09 18:45:00+00:00,243.17,243.38,243.0,243.32,8678.0
17,2021-02-09 19:00:00+00:00,243.325,243.6,243.28,243.55,10063.0
18,2021-02-09 19:15:00+00:00,243.58,244.035,243.58,243.98,11972.0
19,2021-02-09 19:30:00+00:00,244.01,244.34,244.01,244.165,15489.0
20,2021-02-09 19:45:00+00:00,244.2,244.45,244.2,244.45,13098.0
21,2021-02-09 20:00:00+00:00,244.39,244.39,243.94,244.06,8479.0
22,2021-02-09 20:15:00+00:00,244.125,244.13,243.7,243.79,19148.0
23,2021-02-09 20:30:00+00:00,243.785,244.45,243.78,244.435,25090.0
24,2021-02-09 20:45:00+00:00,244.435,244.515,243.335,243.71,36714.0
25,2021-02-09 21:00:00+00:00,243.71,243.71,243.71,243.71,0.0
26,2021-02-10 14:30:00+00:00,244.91,245.92,244.47,244.86,35425.0
27,2021-02-10 14:45:00+00:00,244.87,245.2,244.31,244.56,17171.0
28,2021-02-10 15:00:00+00:00,244.55,245.48,244.51,244.71,21748.0
29,2021-02-10 15:15:00+00:00,244.69,244.69,242.375,242.53,33479.0
30,2021-02-10 15:30:00+00:00,242.4,243.33,241.39,241.51,32074.0
31,2021-02-10 15:45:00+00:00,241.59,242.565,241.555,241.89,91944.0
32,2021-02-10 16:00:00+00:00,241.865,242.13,241.17,242.03,55895.0
33,2021-02-10 16:15:00+00:00,242.05,242.06,241.19,241.34,44376.0
34,2021-02-10 16:30:00+00:00,241.405,241.69,241.095,241.31,27765.0
35,2021-02-10 16:45:00+00:00,241.275,241.65,241.095,241.26,24599.0
36,2021-02-10 17:00:00+00:00,241.265,241.47,240.9,241.47,21375.0
37,2021-02-10 17:15:00+00:00,241.445,241.53,240.92,241.435,15631.0
38,2021-02-10 17:30:00+00:00,241.36,241.525,241.22,241.435,11811.0
39,2021-02-10 17:45:00+00:00,241.43,241.875,241.345,241.705,16077.0
40,2021-02-10 18:00:00+00:00,241.725,241.9,241.55,241.88,13212.0
41,2021-02-10 18:15:00+00:00,241.835,242.53,241.655,242.53,25610.0
42,2021-02-10 18:30:00+00:00,242.5,242.58,241.97,242.29,8978.0
