,Unnamed: 0,date_x,open,high,low,close,volume,ticker,year,month,day,hour,mins,ema_21,ma10,ma20,ma50,close1p_lead,close2p_lead,close3p_lead,close4p_lead,close5p_lead,close6p_lead,close7p_lead,close8p_lead,close16p_lead,daily_open,yesterday_open,yesterday_close,yesterday_low,yesterday_high,open_for_the_day,close_for_the_day,hour_ma10,hour_ma20,hour_ma50,date_y,spy_open,spy_high,spy_low,spy_close,spy_volume,spy_ema_21,spy_ma10,spy_ma20,spy_ma50,spy_close1p_lead,spy_close2p_lead,spy_close3p_lead,spy_close4p_lead,spy_close5p_lead,spy_close6p_lead,spy_close7p_lead,spy_close8p_lead,spy_close16p_lead,spy_daily_open,spy_yesterday_open,spy_yesterday_close,spy_yesterday_low,spy_yesterday_high,spy_open_for_the_day,spy_close_for_the_day,spy_hour_ma10,spy_hour_ma20,spy_hour_ma50
25987,6689,2022-02-04 17:00:00+00:00,3144.62,3151.905,3138.36,3147.005,17411.0,AMZN,2022,2,4,17,0,4.547988549707952,1.07063403335421,6.090081865712648,7.765087139594513,-0.088575226924334,0.4584848964099279,1.0156339691661174,1.2267387299166046,1.524690759231845,1.7866867649422318,2.1100583543815645,1.8082908991063815,0.1267851475721926,1.0276099961637186,11.04189381349083,13.26884661759678,13.747442764922326,9.125127867260789,1.0276099961637186,0.1267851475721926,8.963317991816538,6.949942527666295,7.794262970314662,2022-02-04 17:00:00+00:00,446.945,447.7,446.405,447.27,22809.0,-0.02977453479650194,0.23924115171922722,0.0300244388868407,-0.7872118937338257,0.054746768264763546,0.19524930547032682,0.2964779313419683,0.5790497360378026,0.5503118433779122,0.7742479368178152,0.7401160661777055,0.6022489888439537,0.3175876709123173,0.20162645339067353,-0.8226528892633809,0.1836711837831757,0.353380675125365,-1.2736182235564257,0.20162645339067353,0.3175876709123173,-0.21094763567970176,-0.9876442090046851,0.31617526835199783
37179,8232,2022-04-28 17:00:00+00:00,204.6,206.04,204.6,205.81,51716.0,META,2022,4,28,17,0,5.6446258815030745,2.243230689363102,6.482271925331503,11.851558780627272,0.425758382118147,0.4763171256558394,0.4498403792202765,0.8574594151934036,1.107560723638386,0.6492722840385312,0.338966635998247,0.3244866330879432,0.8693976832117158,1.414211096875917,18.00355484203888,17.71670432121715,21.45765712599588,13.638120479266732,1.414211096875917,-0.053475935828871,11.479139301528846,12.622798989289592,10.120007854631524,2022-04-28 17:00:00+00:00,425.605,427.2,425.195,427.045,175909.0,1.2945252250550823,1.110919065331629,1.56330359887437,1.6816176864512329,-0.044511602300545405,-0.030451026550949223,0.024581528736973723,0.005853841290644368,0.12278691208456394,0.3093120433270258,0.3767554705360965,0.375593425948594,-1.3696516527209184,1.126003457339749,2.3573260468349417,2.384320306880852,2.8974507252662534,0.9634253020308847,1.126003457339749,0.05499906384571318,1.6156857146256414,1.6755047972329038,-0.3982019455056047
45231,6635,2022-02-02 17:00:00+00:00,2966.205,2981.19,2961.87,2979.865,8854.0,GOOGL,2022,2,2,17,0,3.663135669736704,1.11666014864484,4.35353427376586,7.626821833530542,-0.0382714080688941,0.216987655478519,0.7538717735220786,0.0253303004073046,-0.1472028929737376,0.2528938013402921,0.0122473768803104,-0.2558659067510831,-0.7575757575757507,-1.5921005919602464,8.349468318161883,8.36089449061707,10.907998019942,8.12851184115273,-1.5921005919602464,-0.7575757575757507,6.394814410295211,8.567898133194234,12.073086095173096,2022-02-02 17:00:00+00:00,454.755,455.845,454.23,455.655,45266.0,0.5200208523616539,0.23780506584188288,0.530778594779818,1.0888367335031006,-0.11535165776810175,0.031812198332616504,0.25611558036447946,0.10523200368311336,0.015360140435589642,0.1654214412480144,0.14135437212361524,0.1205598360386233,0.34991416168222145,0.038421006410800373,1.1016441456433341,0.5428126965213664,1.9624735670250857,0.43864966439993225,0.038421006410800373,0.34991416168222145,0.7578035858018666,1.3577428602411743,3.271914812314151
53800,5555,2021-12-06 17:00:00+00:00,120.51,120.78,120.25,120.49,43729.0,BABA,2021,12,6,17,0,2.6153576395581126,0.4526999424746094,3.629260279392184,3.8286211621153257,-0.2204200457475593,0.4790616998430579,1.1161263848994594,1.1972119721197316,1.1080105055810918,0.8557557804657421,1.2619847578464345,1.8131442773907052,2.5161812297734656,6.158590308370052,2.3269639065817387,7.710186385375238,10.805591318741946,1.954645456083924,6.158590308370052,2.5161812297734656,5.212603856951375,2.024140661052769,-3.548585928932212,2021-12-06 17:00:00+00:00,457.37,458.37,457.2,457.985,60144.0,0.5204427300302257,0.09747802919531523,0.7447768556591257,0.7310720006615838,0.15914020688225605,0.12974835361332282,0.3578965689793847,0.30801044841096825,0.5137395459976091,0.48671845293063143,0.5223831968548325,0.5267044590690944,0.11450131949139575,0.4066823054830877,-0.26024652641665114,0.9967693206752557,2.0204270296158455,-0.5040136431279194,0.4066823054830877,0.11450131949139575,1.0230573931226985,0.7019684801310433,-0.014037790255329696
54259,6014,2021-12-30 17:00:00+00:00,122.27,122.55,121.81,122.095,19038.0,BABA,2021,12,30,17,0,3.8282767532274136,1.3850714540759128,4.792455664152612,6.747486828691677,0.126789366053174,0.2573319173270221,0.2084184715978665,0.6024341596450427,1.1256427906223363,1.4488659294535466,1.476699616703641,1.297493936944221,0.7115556639830913,8.355520056798,7.563210289842303,8.955024094235227,10.573265712733203,6.922672738418427,8.355520056798,0.7115556639830913,6.763261790565792,6.560131263718773,4.193868268296953,2021-12-30 17:00:00+00:00,478.255,478.44,478.01,478.09,48049.0,0.031644134875705276,-0.05435350684646778,0.021548703207400877,0.16215672636157308,-0.014643738755708569,0.023002927645336513,0.05017456567641432,0.0,-0.008367325593553687,0.011502786811533383,0.03345530580240563,-0.037663995312911425,-0.4095434116016179,0.008367325593553687,0.23481560685156921,0.11831841264854859,0.4665139638976967,-0.1055171909443402,0.008367325593553687,-0.4095434116016179,0.12397957687781513,0.13299682692608883,1.2619995649518927
54826,6581,2022-01-31 17:00:00+00:00,123.975,124.29,123.47,123.47,35636.0,BABA,2022,1,31,17,0,3.62075651180156,1.0430007651673066,4.465173340101941,7.805720941481752,-0.2883482922470932,-0.2191558441558356,-0.0770010131712268,0.0890111668554851,-0.3698735926513024,-0.0324070323260059,0.4354487541327358,0.4715650316392015,1.8599475399411889,4.476222711118624,8.952128833002433,7.095151357446426,12.158786392333212,7.090506960405918,4.476222711118624,1.8599475399411889,6.373171939951334,8.083266220806067,5.166864133133558,2022-01-31 17:00:00+00:00,446.705,446.83,445.925,446.12,45903.0,0.9420763393942053,0.2668944165688032,1.109182142484812,2.270645835047901,0.04593065591215861,0.08286859728102058,0.2660347410073598,0.22253782583898385,0.17565254360545168,0.16336578270113478,0.2671495478577697,0.3796168103255724,0.7121873052612813,1.1105570917002723,3.0990732823368887,0.9869612459253858,4.290907390740244,0.9344102807755945,1.1105570917002723,0.7121873052612813,1.4889381789228224,2.1452751628217896,2.234717271003106
55667,7422,2022-03-16 17:00:00+00:00,97.755,98.01,96.35,96.4,56674.0,BABA,2022,3,16,17,0,6.109379030315523,0.2438504453260179,7.028758427543266,18.043225371946363,1.0063668104333487,2.1220428469895296,2.04247535819529,0.0518403317781235,1.8129965369729175,4.540278259147385,5.997074597757177,6.444099378881987,1.952807160292906,4.782608695652186,28.19148936170214,25.569884069297927,31.523296268504,20.304505179084003,4.782608695652186,8.015267175572518,15.92041894890002,19.64491276408917,8.33566524728964,2022-03-16 17:00:00+00:00,431.66,431.955,430.025,430.375,59893.0,0.016820448459270665,-0.5061672883466031,-0.10276967464780284,1.2886576708139188,0.07545855583931882,0.12299694828325869,0.22834755192879186,-0.8411729559379921,-0.9322232645403403,-0.2901218744902394,-0.10583364346854296,0.135743456469271,1.3647927027708278,0.1128195584917222,2.528825995807125,1.0222524764095624,2.865781517023791,0.8281791772092504,0.1128195584917222,1.1847497904875723,0.6477941090492294,1.6225967569316424,1.5946134730686623
55721,7476,2022-03-18 17:00:00+00:00,110.125,110.53,109.215,109.28,46913.0,BABA,2022,3,18,17,0,2.975443529075818,0.919337485974438,3.4417477566165644,6.846464915093819,0.9382223632325548,0.1781228591002559,0.5958066129986008,0.1325108521818521,-0.1191021530004547,0.2236932207258632,0.4327821055988323,-0.4134889276853783,-10.450778249444111,8.866308029487953,10.227960459955623,8.85546369160275,14.08288965445243,7.263447192775828,8.866308029487953,-0.8676389145283281,5.968484848484849,8.447664177438156,21.22946736910532,2022-03-18 17:00:00+00:00,441.435,442.055,441.19,441.79,19276.0,0.4215943379467717,0.27748301906065365,0.39244380918187005,1.0059672146139746,0.11191878539855793,0.050903249889699964,0.0554254753582768,0.0531644137774947,0.08819937581979787,0.05881687591900686,0.1773710670507853,0.35411403825334276,0.2877681604279303,0.8549349952630365,1.8770898189784475,0.20413255006918973,1.9805636988989193,0.16551036140208453,0.8549349952630365,0.6309112788043052,0.5351146975060175,1.2406151801341139,3.2188998130195756
57017,8772,2022-05-26 17:00:00+00:00,94.31,94.945,94.25,94.33,76669.0,BABA,2022,5,26,17,0,3.8887419564006502,0.7336373247332801,4.281592358800324,10.139282465868265,-0.1167480365103017,-0.0848806366047654,0.5010284267707448,0.485283257727616,0.5272593061267514,0.222128199703846,0.485283257727616,0.0211976682564909,-2.0004325259515383,7.885858065991869,12.45827372436814,14.575488886189715,16.36341207672855,12.2842518747768,7.885858065991869,0.1323381504420098,8.970767462412425,11.366252471886895,9.357085140397416,2022-05-26 17:00:00+00:00,406.34,407.01,406.095,406.425,57503.0,0.9101173609868312,0.33500548056129276,0.9069021016219381,2.151406518738881,-0.1910513989892877,-0.12317546344769426,-0.05415984539827434,-0.08126177372290044,-0.07756519169683429,-0.12564206792062294,-0.10098149083161445,-0.22440600224406637,1.2788748815856508,1.9401038400762616,3.597920012235221,2.2478552919570376,3.694395897383558,1.7385100630820034,1.9401038400762616,-0.32460319419416805,1.7628375663051514,2.7048711687835976,3.3614041637536616
57233,8988,2022-06-08 17:00:00+00:00,116.99,117.45,116.41,116.65,100646.0,BABA,2022,6,8,17,0,4.278125821505213,1.0770577174694722,4.719327067230466,10.900581170383816,-0.6644804970659379,-0.816732206905499,-0.647109577221741,1.1566326314451487,1.627593186034744,1.727042965459134,1.834553563914838,2.791666666666657,-0.0643362642075828,11.808683983513871,16.81353895453637,11.808683983513871,17.2833299819023,11.68022977501198,11.808683983513871,2.4828623975923847,8.444543607907676,12.304381940800724,18.310967675192018,2022-06-08 17:00:00+00:00,412.71,412.76,411.84,412.295,30567.0,-0.3655376018458725,-0.40509986182641455,-0.49229517919989974,-0.17754231368650153,-0.11777275928220376,-0.16885325558794761,-0.17615472459119985,-0.16033622019509153,-0.32973183433104225,-0.19928306701500276,-0.24800923955992005,-0.2138959444842925,-0.38713918749468235,-0.3805542803295765,1.0378375729059428,-0.6781335067813359,1.1394578682693606,-0.9430109076930506,-0.3805542803295765,-0.23947873866427472,-0.39439273785866646,-0.2732058695118411,-0.09459990588470646
